"","CASEID","SITE","IDNUM","CASENO","JURORNO","RELVEVID","COMPLEX","EVIDENCE","UNDSDEXP","UNDSDJUD","KEYEVDNC","POLEVDNC","BELIEVBL","VICTEVID","DEFTEVID","DSYMPATH","VSYMPATH","PROSATTY","DEFTATTY","CONDUCTD","PROSSTRG","DEFSTRNG","HOWCLOSE","LEANING","NVCNGMD","POPEN","DFOPN","TESTSTAT","DFWITN","CLOSPRO","CLOSDF","JDFINSTR","JRDELIB","FAVORWHO","PERSNALY","DIFJUDGE","FIRSTVOT","SECRET","HOWVOTE","CERTAIN","VOTEPROS","VOTEDEFT","VOTEUNDC","DNTREMEM","FINLVOTE","VOTEPRO2","VOTEDEF2","VOTEUND2","DNTREME2","EXPRESSD","OPENMIND","PARTICIP","INFLUENC","DOMINATE","UNREASON","REMEVID","REMINSTR","POINTVU","CLOSFRND","CONFLICT","TIME","CONVINCE","EASYRCH","SATDELIB","SATVERDT","FAIRLAW","DIFFVERD","FAIROUTC","APPROPRI","ONEPERSN","POLICE","AMCOURTS","CRMSEVRE","PRESIDE","PREVIOUS","CIVILCRM","GENDER","AGE","SCHOOL","RACE","RELIGON","INCOME","JOBSTAT","OCCUPAT"
"1",NA,1,102,1,2,3,4,7,7,6,2,4,3,2,-8,1,1,6,6,7,3,3,2,8,9,0,0,0,0,0,0,0,1,-9,3,2,5,0,2,6,-9,12,-9,0,-9,12,-9,-9,0,2,3,1,5,2,7,-9,-9,7,6,1,4,3,2,7,7,7,1,7,3,-9,7,7,7,0,1,2,2,5,3,2,4,5,1,2
"2",NA,1,103,1,3,3,1,7,7,5,2,1,2,2,-8,1,1,7,7,3,4,4,5,8,9,0,0,0,0,0,0,0,1,3,4,4,4,1,3,-9,-9,-9,-9,0,-9,-9,-9,-9,0,1,-9,-9,5,-9,-9,-9,5,-9,7,6,-9,5,5,7,7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-8,-9,-9,-9,-9,-9,-9,-9,-9
"3",NA,1,104,1,4,1,1,5,5,3,2,2,4,1,-8,1,1,4,4,6,4,4,3,5,9,0,0,0,0,1,0,0,0,4,4,3,3,0,3,-9,-9,-9,-9,0,2,-9,12,-9,0,1,7,7,4,1,2,2,2,6,7,1,7,1,5,7,7,6,3,5,4,2,7,7,7,0,1,3,2,3,4,1,-9,-9,-9,-9
"4",NA,1,105,1,5,2,3,7,7,4,2,1,2,2,-8,1,1,-9,-9,-9,-9,-9,6,3,9,0,0,0,0,0,1,0,0,4,-9,-9,-9,-8,-9,-9,-9,-9,-9,9,2,-9,12,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,7,7,7,5,-9,6,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-8,-9,-9,-9,-9,-9,-9,-9,-9
"5",NA,1,106,1,6,4,1,4,4,4,3,5,2,2,-8,1,1,4,3,7,4,4,5,7,9,0,0,0,0,0,0,1,0,4,3,4,3,-8,2,7,0,12,-9,0,2,-9,12,-9,0,4,7,5,7,4,4,7,7,5,6,6,6,6,6,6,6,-9,-9,-9,-9,-9,-9,-9,-9,0,1,3,1,2,3,-9,-9,-9,-9,-9
"6",NA,1,107,1,7,4,1,5,5,-9,1,1,4,1,-8,1,1,4,4,7,4,4,5,7,9,0,0,0,0,0,0,1,0,4,4,4,-9,-8,-9,-9,-9,-9,-9,9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,4,5,5,5,7,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-8,-9,-9,-9,-9,-9,-9,-9,-9
"7",NA,1,201,2,1,3,4,6,4,6,6,7,2,4,-8,3,-8,4,4,5,6,6,6,1,9,0,0,0,0,0,0,0,0,6,5,4,5,0,2,6,-9,12,-9,0,2,-9,12,-9,0,1,7,6,6,4,2,4,1,6,4,4,7,5,6,7,7,6,4,6,4,2,6,7,5,-9,-9,-8,-9,-9,-9,-9,-9,-9,-9,-9
"8",NA,1,202,2,2,4,6,6,6,7,4,7,1,-8,-8,1,1,4,6,7,1,7,7,3,9,0,0,1,0,0,0,0,0,7,7,1,6,0,2,7,-9,12,-9,0,2,-9,12,-9,0,1,7,7,7,4,1,1,1,7,5,2,7,2,7,7,7,7,1,7,4,2,7,7,7,0,1,2,1,3,3,4,-9,-9,-9,-9
"9",NA,1,203,2,3,4,3,5,5,5,3,7,3,-8,-8,3,-8,2,7,5,3,5,5,4,9,0,0,0,0,0,0,0,0,7,7,1,5,0,2,7,0,12,-9,9,-9,0,12,-9,9,3,6,7,7,2,2,2,1,6,6,2,7,3,6,7,7,5,1,4,5,2,4,4,6,0,0,-8,2,3,4,1,-9,-9,-9,-9
"10",NA,1,204,2,4,2,2,6,7,7,5,2,2,-8,-8,1,-8,2,5,7,2,5,7,4,9,0,1,0,0,0,0,0,0,2,5,1,5,0,2,7,0,0,-9,0,2,-9,0,-9,0,5,6,7,7,5,4,1,1,7,5,1,7,5,7,5,7,5,5,4,5,1,3,6,7,1,0,-8,1,3,4,3,-9,-9,-9,-9
