gender,age_group,education_level,race_ethnicity,religion_level,income_bracket,job_status,individual_first_vote,individual_final_vote,group_first_vote_guilty,group_first_vote_not_guilty,group_first_vote_undecided,group_final_vote_guilty,group_final_vote_not_guilty,group_final_vote_undecided,site,case_id,num_victims,defendant_gender,defendant_race_ethnicity,defendant_representation,victim_gender,victim_race_ethnicity,victim_relationship,defendant_criminal_history_known,sentencing_possibilities_known,case_type,total_counts,total_convictions,total_acquittals,total_hung_counts,sentence_range
Female,56-65,Some college,White/Caucasian,Somewhat non-religious,"$40,000 - $49,999",Employed full time,Not Guilty,NA,NA,12,NA,12,NA,NA,Los Angeles,1,1,Male,"Black, non-Hispanic",Private,NA,"Black, non-Hispanic",Spouse/domestic partner,No,No,Assault (non-sexual),3,1,2,0,1–5 years
NA,NA,NA,NA,NA,NA,NA,Undecided,NA,NA,NA,NA,NA,NA,NA,Los Angeles,1,1,Male,"Black, non-Hispanic",Private,NA,"Black, non-Hispanic",Spouse/domestic partner,No,No,Assault (non-sexual),3,1,2,0,1–5 years
Female,36-45,College graduate,Black/African American,NA,NA,NA,Undecided,Not Guilty,NA,NA,NA,NA,12,NA,Los Angeles,1,1,Male,"Black, non-Hispanic",Private,NA,"Black, non-Hispanic",Spouse/domestic partner,No,No,Assault (non-sexual),3,1,2,0,1–5 years
NA,NA,NA,NA,NA,NA,NA,NA,Not Guilty,NA,NA,NA,NA,12,NA,Los Angeles,1,1,Male,"Black, non-Hispanic",Private,NA,"Black, non-Hispanic",Spouse/domestic partner,No,No,Assault (non-sexual),3,1,2,0,1–5 years
Male,26-35,Some college,NA,NA,NA,NA,Not Guilty,Not Guilty,0,12,NA,NA,12,NA,Los Angeles,1,1,Male,"Black, non-Hispanic",Private,NA,"Black, non-Hispanic",Spouse/domestic partner,No,No,Assault (non-sexual),3,1,2,0,1–5 years
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,1,1,Male,"Black, non-Hispanic",Private,NA,"Black, non-Hispanic",Spouse/domestic partner,No,No,Assault (non-sexual),3,1,2,0,1–5 years
NA,NA,NA,NA,NA,NA,NA,Not Guilty,Not Guilty,NA,12,NA,NA,12,NA,Los Angeles,2,0,Female,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,1,0,1,0,NA
Male,36-45,Some college,Nonwhite/Hispanic,NA,NA,NA,Not Guilty,Not Guilty,NA,12,NA,NA,12,NA,Los Angeles,2,0,Female,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,1,0,1,0,NA
Female,36-45,College graduate,Black/African American,NA,NA,NA,Not Guilty,NA,0,12,NA,0,12,NA,Los Angeles,2,0,Female,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,1,0,1,0,NA
Male,36-45,College graduate,White/Hispanic,NA,NA,NA,Not Guilty,Not Guilty,0,0,NA,NA,0,NA,Los Angeles,2,0,Female,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,1,0,1,0,NA
Female,26-35,Some college,Black/African American,NA,NA,NA,Not Guilty,Not Guilty,NA,12,NA,NA,12,NA,Los Angeles,2,0,Female,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,1,0,1,0,NA
Male,36-45,Some college,White/Caucasian,NA,NA,NA,Not Guilty,Not Guilty,NA,12,NA,NA,12,NA,Los Angeles,2,0,Female,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,1,0,1,0,NA
