"gender","age_group","education_level","race_ethnicity","religion_level","income_bracket","job_status","individual_first_vote","individual_final_vote","group_first_vote_guilty","group_first_vote_not_guilty","group_first_vote_undecided","group_final_vote_guilty","group_final_vote_not_guilty","group_final_vote_undecided"
"Female","56-65","Some college","White/Hispanic","Somewhat non-religious","$40,000 - $49,999","Employed full time","Not Guilty",NA,NA,12,NA,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Undecided",NA,NA,NA,NA,NA,NA,NA
"Female","36-45","College graduate","Black/African American",NA,NA,NA,"Undecided","Not Guilty",NA,NA,NA,NA,12,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Not Guilty",NA,NA,NA,NA,12,NA
"Male","26-35","Some college",NA,NA,NA,NA,"Not Guilty","Not Guilty",0,12,NA,NA,12,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Male","36-45","Some college","Nonwhite/Hispanic",NA,NA,NA,"Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Female","36-45","College graduate","Black/African American",NA,NA,NA,"Not Guilty",NA,0,12,NA,0,12,NA
"Male","36-45","College graduate","White/Caucasian",NA,NA,NA,"Not Guilty","Not Guilty",0,0,NA,NA,0,NA
"Female","26-35","Some college","Black/African American",NA,NA,NA,"Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Male","36-45","Some college","White/Hispanic",NA,NA,NA,"Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Male","18-25","College graduate","White/Hispanic",NA,NA,NA,"Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Male","26-35","Post-graduate work",NA,NA,NA,NA,"Not Guilty","Not Guilty",0,12,NA,0,12,NA
"Female","36-45","Some college","Nonwhite/Hispanic",NA,NA,NA,"Not Guilty","Not Guilty",NA,NA,NA,NA,NA,NA
"Female","46-55","Post-graduate work","White/Hispanic",NA,NA,NA,"Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Male","56-65","High school graduate","White/Caucasian",NA,NA,NA,"Not Guilty","Not Guilty",NA,NA,NA,NA,NA,NA
"Female","36-45","Post-graduate work","White/Caucasian",NA,NA,NA,"Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Not Guilty","Undecided",NA,11,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Male","56-65","College graduate","White/Caucasian",NA,NA,NA,"Not Guilty","Not Guilty",12,NA,NA,NA,12,NA
"Male","46-55","Some college","Black/African American",NA,NA,NA,"Not Guilty","Not Guilty",0,12,3,0,12,NA
"Female","46-55","Some college","Black/African American",NA,NA,NA,"Guilty","Not Guilty",NA,NA,NA,NA,12,NA
"Male","26-35","College graduate","Nonwhite/Hispanic",NA,NA,NA,"Not Guilty","Not Guilty",4,6,2,NA,12,NA
"Male","26-35","Some college","Black/African American",NA,NA,NA,"Not Guilty","Guilty",NA,10,NA,NA,NA,NA
"Male","36-45","High school graduate","White/Caucasian",NA,NA,NA,"Guilty","Not Guilty",2,7,3,NA,12,NA
"Female","36-45","Some college","White/Caucasian",NA,NA,NA,"Not Guilty","Not Guilty",NA,NA,NA,NA,12,NA
"Female","18-25","High school graduate","Nonwhite/Hispanic",NA,NA,NA,"Undecided","Not Guilty",0,12,NA,0,12,NA
"Male","56-65","College graduate","Native American",NA,NA,NA,"Not Guilty","Not Guilty",2,9,1,0,12,0
"Female","56-65","High school graduate","White/Hispanic",NA,NA,NA,"Undecided","Not Guilty",2,7,3,2,10,NA
"Male","46-55","High school graduate","Nonwhite/Hispanic",NA,NA,NA,"Guilty",NA,NA,NA,NA,4,4,4
"Female","18-25","College graduate","Black/African American",NA,NA,NA,"Not Guilty","Not Guilty",0,12,0,2,10,0
"Male","46-55","Post-graduate work","White/Hispanic",NA,NA,NA,"Guilty","Guilty",10,1,1,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty",NA,NA,NA,NA,12,NA,NA
"Female","46-55","Some college","Black/African American",NA,NA,NA,"Not Guilty",NA,NA,NA,NA,NA,NA,NA
"Female","36-45","Some college","White/Caucasian",NA,NA,NA,NA,NA,NA,NA,NA,2,0,0
"Male","26-35","Post-graduate work","White/Hispanic",NA,NA,NA,"Guilty","Guilty",NA,NA,NA,12,0,0
NA,NA,NA,NA,NA,NA,NA,"Guilty","Guilty",9,2,1,12,0,NA
NA,NA,NA,NA,NA,NA,NA,"Not Guilty",NA,6,2,4,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty",NA,6,2,4,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty","Guilty",NA,NA,NA,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"26-35","Some college","White/Caucasian",NA,NA,NA,"Undecided","Guilty",NA,NA,NA,NA,NA,NA
"Female","18-25","Some college","Nonwhite/Hispanic",NA,NA,NA,"Guilty",NA,10,0,2,12,NA,NA
"Male","18-25","College graduate","Native American",NA,NA,NA,"Guilty","Guilty",10,0,2,12,0,0
"Male","36-45","Post-graduate work","White/Hispanic",NA,NA,NA,"Guilty","Guilty",12,NA,NA,12,0,0
"Male","36-45","Some college","Nonwhite/Hispanic",NA,NA,NA,"Undecided","Guilty",10,0,2,12,0,0
